UNITID,OPEID,OPEID6,college_name,city,state,ZIP,type,ST_FIPS,region,LATITUDE,LONGITUDE,admission_rate,SAT_AVG,undergrad_enrollment,percentage_white,percentage_black,percentage_hispanic,percentage_asian,percentage_american_indian,percentage_hawaiian_pacific_islander,percentage_non_resident_alien,avg_income_from_mid_income_bracket,avg_income_from_high_income_bracket,earning_above_threshold,avg_net_price,median_earnings,avg_income_from_low_income_bracket,first_bracket_net_price,second_bracket_net_price(public,third_bracket_net_price,fourth_bracket_net_price,fifth_bracket_net_price,attendance_cost,instate_tuition,outofstate_tuition,pell_recipients,fed_loan_recipients,compeletion_rate,completion_rate_white,completion_rate_black,completion_rate_hispanic,completion_rate_asian,completion_rate_american_indian,debt_graduated,debt_withdrew,debt_low_income,debt_mid_income,debt_high_income,debt_pell,debt_nopell,population_debt_low_income,population_debt_middle_income,population_debt_high_income,population_debt_pell,population_repayment_cohort,population_recieving_loan,population_recieving_pell,RET_FT4,RET_FTL4
441496,3616300,36163,Aviation Institute of Maintenance-Kansas City,Kansas City,MO,64129,3,29,4,39.049869,-94.498289,NULL,NULL,83,0.6627,0.2048,0.0361,0.0241,0.0241,0.012,0,PrivacySuppressed,PrivacySuppressed,0.588,NULL,34500,36700,NULL,NULL,NULL,NULL,NULL,NULL,17997,17997,0.5326,0.5543,0.500002778,NULL,NULL,NULL,NULL,NULL,20000,4750,20000,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,79,PrivacySuppressed,PrivacySuppressed,100,268,0.698529412,0.830882353,NULL,NULL
442426,2340501,23405,St Louis College of Health Careers-Fenton,Fenton,MO,63026,3,29,4,38.544635,-90.470904,0.7872,NULL,406,0.5714,0.3227,0.0074,0.0025,0.0074,0.0025,0,PrivacySuppressed,PrivacySuppressed,0.677,NULL,23400,23400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6461,0.6408,0.725153081,NULL,NULL,NULL,NULL,NULL,9500,6496,9500,9620,13000,9500,12000,926,111,43,983,1003,0.914486922,0.897384306,NULL,0.8
445267,245300,2453,Central Methodist University-College of Graduate and Extended Studies,Fayette,MO,65248-1198,2,29,4,39.150383,-92.686156,NULL,NULL,1787,0.845,0.0907,0.009,0.0045,0.0062,0.0011,0,35000,39800,0.46,NULL,33700,33600,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.1651,0.2476,NULL,NULL,NULL,NULL,NULL,NULL,17093,9375,12500,11932,12500,12500,12000,888,774,583,1434,1162,0.828095238,0.665714286,NULL,NULL
445559,2599712,25997,Vatterott College-St Charles,St Charles,MO,63301,3,29,4,38.79131,-90.549431,NULL,NULL,396,0.7247,0.2247,0,0,0.0051,0,0,38100,42500,0.707,19422,28300,27500,18253,NULL,NULL,NULL,NULL,23643,12401,12401,0.3279,0.3443,0.493252685,NULL,NULL,NULL,NULL,NULL,22001,7571,13000,16471,13000,13511,12303,6625,734,189,7164,8374,0.849956955,0.935801255,NULL,0.7188
445726,2609203,26092,L'Ecole Culinaire-St Louis,St. Louis,MO,63124-1188,3,29,4,38.635397,-90.392161,NULL,NULL,308,0.3214,0.6006,0.013,0,0.0065,0,0,PrivacySuppressed,PrivacySuppressed,0.561,19628,34200,32600,19022,NULL,NULL,NULL,NULL,24567,14302,14302,0.2974,0.2825,0.361860311,NULL,NULL,NULL,NULL,NULL,20894.5,6334,13000,13875,12750,13000,12750,1784,249,73,1945,3046,0.817572892,0.924743893,NULL,0.5192
445814,2611004,26110,Heritage College-Kansas City,Kansas City,MO,64131,3,29,4,38.939585,-94.576787,NULL,NULL,514,0.6323,0.2743,0.0389,0.0136,0,0.0039,0.0019,27600,30900,0.689,20111,23700,22600,20038,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6093,0.6448,0.615078237,NULL,NULL,NULL,NULL,NULL,11819,4750,9500,9500,9111,9500,9500,1839,603,244,2165,3306,0.842637823,0.807397069,NULL,0.6747
446464,3878300,38783,Professional Massage Training Center,Springfield,MO,65803,3,29,4,37.229872,-93.291313,0.8333,NULL,27,1,0,0,0,0,0,0,PrivacySuppressed,PrivacySuppressed,0.468,35832,PrivacySuppressed,PrivacySuppressed,35832,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7143,0.8857,0.662350649,NULL,NULL,NULL,NULL,NULL,9500,9500,9500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,46,33,10,71,165,PrivacySuppressed,PrivacySuppressed,NULL,1
446534,3916300,39163,eClips School of Cosmetology and Barbering,Cape Girardeau,MO,63701,3,29,4,37.305615,-89.547135,NULL,NULL,83,0.1446,0.8554,0,0,0,0,0,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,6123,PrivacySuppressed,PrivacySuppressed,4543,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.9496,0.9832,0.596680663,NULL,NULL,NULL,NULL,NULL,9500,4750,9500,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,127,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed,138,0.602339181,PrivacySuppressed,NULL,0.6667
446899,10732918,7329,ITT Technical Institute-Kansas City,Kansas City,MO,64133,3,29,4,39.04798,-94.474973,0.9167,NULL,231,0.5887,0.2771,0.0346,0.013,0.0087,0.0087,0,46300,47200,PrivacySuppressed,24179,38800,38200,23684,NULL,NULL,NULL,NULL,28016,18048,18048,0.7901,0.7652,0.449232031,0.4568,0.3714,0.4,0.8571,0,25827.5,9500,12667,17014,17000,13947,12667,46852,14813,4851,56021,52325,0.800189188,0.814378315,NULL,NULL
447227,2300105,23001,Everest College-Earth City,Earth City,MO,63045,3,29,4,38.758834,-90.458969,NULL,NULL,185,0.2378,0.7135,0.0162,0,0,0,0,31800,31100,0.721,24520,28900,26500,24495,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7017,0.5191,0.517465857,NULL,NULL,NULL,NULL,NULL,9500,4750,9500,9500,6655,9500,9336.5,1929,546,241,2206,4844,0.786092215,0.822373394,NULL,NULL
